Items,DMG Price,DMPG Price,Rarity,Sane Price,Stat Block,Type,XGE Price
Marvelous Pigments,5001-50000,"16,000",Very Rare,, https://www.dndbeyond.com/magic-items/marvelous-pigments,Wondrous Items,20000-50000
Bookmark (dagger),50001+,"30,000",Legendary,, https://www.dndbeyond.com/magic-items/bookmark,Weapons,50000-300000
Belt Of Giant Strength (Storm),50001+,"100,000",Legendary,, https://www.dndbeyond.com/magic-items/belt-of-giant-strength,Wondrous Items: Waist,50000-300000
Dragonguard,501-5000,,Rare,, https://www.dndbeyond.com/magic-items/dragonguard,Armor,2000-20000
Ioun Stone (Intellect),5001-50000,"8,000",Very Rare,"3,000", https://www.dndbeyond.com/magic-items/ioun-stone,Wondrous Items: Head,20000-50000
Band Of Loyalty,50-100,,Common,, https://www.dndbeyond.com/magic-items/band-of-loyalty,Ring,20-70
Icon Of Ravenloft,50001+,"50,500",Legendary,, https://www.dndbeyond.com/magic-items/icon-of-ravenloft,Wondrous Items,50000-300000
Cloak Of Displacement,501-5000,"3,600",Rare,"60,000", https://www.dndbeyond.com/magic-items/cloak-of-displacement,Wondrous Items: Shoulders,2000-20000
"Armor, +1",501-5000,"3,000",Rare,"1,500", https://www.dndbeyond.com/magic-items/armor-1,Armor,2000-20000
Bag Of Holding,101-500,500,Uncommon,"4,000", https://www.dndbeyond.com/magic-items/bag-of-holding,Wondrous Items,100-600
Mask Of The Dragon Queen,50001+,,Legendary,, https://www.dndbeyond.com/magic-items/mask-of-the-dragon-queen,Wondrous Items,50000-300000
Armor Of Resistance,501-5000,"3,000",Rare,"6,000", https://www.dndbeyond.com/magic-items/armor-of-resistance,Armor,2000-20000
Demonomicon of Iggwilv,Priceless,,Artifact,, https://www.dndbeyond.com/magic-items/demonomicon-of-iggwilv,Wondrous Items,Priceless
Tome Of Leadership And Influence,5001-50000,"36,000",Very Rare,, https://www.dndbeyond.com/magic-items/tome-of-leadership-and-influence,Wondrous Items,20000-50000
Belt Of Giant Strength (Hill),501-5000,"4,000",Rare,, https://www.dndbeyond.com/magic-items/belt-of-giant-strength,Wondrous Items: Waist,2000-20000
Bead Of Force,501-5000,"3,000",Rare,960, https://www.dndbeyond.com/magic-items/bead-of-force,Wondrous Items,2000-20000
Fane-Eater,50001+,"55,000",Legendary,, https://www.dndbeyond.com/magic-items/fane-eater,Weapons,50000-300000
Potion Of Speed,5001-50000,"2,000",Very Rare,400, https://www.dndbeyond.com/magic-items/potion-of-speed,Potions & Oils,20000-50000
Ring Of Winter,Priceless,,Artifact,, https://www.dndbeyond.com/magic-items/ring-of-winter,Rings,Priceless
Shadowfell Shard,501-5000,,Rare,, https://www.dndbeyond.com/magic-items/shadowfell-shard,Wondrous Items,2000-20000
Barrier Tattoo,Varies,,Varies,, https://www.dndbeyond.com/magic-items/barrier-tattoo,Wondrous Items,Varies
Blod Stone,501-5000,"6,500",Rare,, https://www.dndbeyond.com/magic-items/blod-stone,Wondrous Items,2000-20000
Potion Of Vitality,5001-50000,"1,800",Very Rare,960, https://www.dndbeyond.com/magic-items/potion-of-vitality,Potions & Oils,20000-50000
Rod Of Resurrection,50001+,"125,000",Legendary,, https://www.dndbeyond.com/magic-items/rod-of-resurrection,Rods,50000-300000
Horned Ring,5001-50000,,Very Rare,, https://www.dndbeyond.com/magic-items/horned-ring,Rings,20000-50000
"Yklwa, +1",101-500,,Uncommon,, https://www.dndbeyond.com/magic-items/yklwa-1,Weapons,100-600
Potion Of Water Breathing,501-5000,400,Rare,180, https://www.dndbeyond.com/magic-items/potion-of-water-breathing,Potions & Oils,2000-20000
Necklace of Fireballs (3 Beads),501-5000,"2,175",Rare,960, https://www.dndbeyond.com/magic-items/necklace-of-fireballs,Wondrous Items: Neck,2000-20000
Cloak Of The Bat,501-5000,"4,600",Rare,"6,000", https://www.dndbeyond.com/magic-items/cloak-of-the-bat,Wondrous Items: Shoulders,2000-20000
Revenant Double Bladed Scimitar,50-100,,Common,, https://www.dndbeyond.com/magic-items/revenant-double-bladed-scimitar,Weapons,20-70
Battle Standard Of Infernal Power,5001-50000,"6,000",Very Rare,, https://www.dndbeyond.com/magic-items/battle-standard-of-infernal-power,Wondrous Items,20000-50000
Ring Of Jumping,101-500,250,Uncommon,"2,500", https://www.dndbeyond.com/magic-items/ring-of-jumping,Rings,100-600
Battering Shield,501-5000,850,Rare,, https://www.dndbeyond.com/magic-items/battering-shield,Armor,2000-20000
Instrument of the Bards (Cli Lyre),501-5000,4250,Rare,"35,000", https://www.dndbeyond.com/magic-items/cli-lyre,Wondrous Items,2000-20000
Potion Of Animal Friendship,101-500,200,Uncommon,200, https://www.dndbeyond.com/magic-items/potion-of-animal-friendship,Potions & Oils,100-600
Nolzur's Marvelous Pigments,5001-50000,"16,000",Very Rare,200, https://www.dndbeyond.com/magic-items/nolzurs-marvelous-pigments,Wondrous Items,20000-50000
Potion Of Fire Breath,101-500,350,Uncommon,150, https://www.dndbeyond.com/magic-items/potion-of-fire-breath,Potions & Oils,100-600
Scorpion Armor (plate),501-5000,"2,100",Rare,, https://www.dndbeyond.com/magic-items/scorpion-armor,Armor,2000-20000
Bracer Of Flying Daggers,501-5000,"1,000",Rare,, https://www.dndbeyond.com/magic-items/bracer-of-flying-daggers,Wondrous Items: Arms & Wrists,2000-20000
Eyes Of Minute Seeing,101-500,150,Uncommon,"2,500", https://www.dndbeyond.com/magic-items/eyes-of-minute-seeing,Wondrous Items: Eyes,100-600
Carpet Of Flying,5001-50000,"44,000",Very Rare,"12,000", https://www.dndbeyond.com/magic-items/carpet-of-flying,Wondrous Items,20000-50000
"Weapon, +1",101-500,500,Uncommon,"1,000", https://www.dndbeyond.com/magic-items/weapon-1,Weapons,100-600
Duskcrusher,5001-50000,"8,500",Very Rare,, https://www.dndbeyond.com/magic-items/duskcrusher,Weapons,20000-50000
Sword Of Kas,Priceless,,Artifact,, https://www.dndbeyond.com/magic-items/sword-of-kas,Wondrous Items,Priceless
White Dragon Mask,50001+,,Legendary,, https://www.dndbeyond.com/magic-items/white-dragon-mask,Wondrous Items,50000-300000
Bowl Of Commanding Water Elementals,501-5000,"4,700",Rare,"8,000", https://www.dndbeyond.com/magic-items/bowl-of-commanding-water-elementals,Wondrous Items,2000-20000
Dragontooth Dagger,501-5000,"5,000",Rare,, https://www.dndbeyond.com/magic-items/dragontooth-dagger,Weapons,2000-20000
Pearl Of Power,101-500,400,Uncommon,"6,000", https://www.dndbeyond.com/magic-items/pearl-of-power,Wondrous Items,100-600
"Weapon, +2",501-5000,"2,500",Rare,"4,000", https://www.dndbeyond.com/magic-items/weapon-2,Weapons,2000-20000
Artificer Wand +1,Varies,,Varies,, https://www.dndbeyond.com/magic-items/artificer-wand-1,Wands,Varies
Infernal Puzzle Box,101-500,"3,500",Uncommon,, https://www.dndbeyond.com/magic-items/infernal-puzzle-box,Wondrous Items,100-600
Helm Of Teleportation,501-5000,"4,250",Rare,"64,000", https://www.dndbeyond.com/magic-items/helm-of-teleportation,Wondrous Items: Head,2000-20000
Artificer Wand +2,Varies,,Varies,, https://www.dndbeyond.com/magic-items/artificer-wand-2,Wands,Varies
Belt Of Dwarvenkind,501-5000,"5,000",Rare,"6,000", https://www.dndbeyond.com/magic-items/belt-of-dwarvenkind,Wondrous Items: Waist,2000-20000
Dimensional Seal,50001+,,Legendary,, https://www.dndbeyond.com/magic-items/dimensional-seal,Wondrous Items,50000-300000
Wand Of Smiles,50-100,60,Common,, https://www.dndbeyond.com/magic-items/wand-of-smiles,Wands,20-70
Wand Of The War Mage +3,5001-50000,"14,000",Very Rare,"19,200", https://www.dndbeyond.com/magic-items/wand-of-the-war-mage,Wands,20000-50000
Potion of Maximum Power,501-5000,"2,000",Rare,, https://www.dndbeyond.com/magic-items/potion-of-maximum-power,Potion,2000-20000
Helm Of Devil Command,5001-50000,"21,500",Very Rare,, https://www.dndbeyond.com/magic-items/helm-of-devil-command,Wondrous Items: Head,20000-50000
Brooch of Living Essence,101-500,250,Uncommon,, https://www.dndbeyond.com/magic-items/brooch-of-living-essence,Wondrous Item,100-600
Ghost Lantern,501-5000,"1,750",Rare,, https://www.dndbeyond.com/magic-items/ghost-lantern,Wondrous Items,2000-20000
Elixir Of Health,501-5000,"2,000",Rare,120, https://www.dndbeyond.com/magic-items/elixir-of-health,Potions & Oils,2000-20000
Repulsion Shield,Varies,,Varies,, https://www.dndbeyond.com/magic-items/repulsion-shield,Armor,Varies
Ioun Stone (Fortitude),5001-50000,"8,000",Very Rare,"3,000", https://www.dndbeyond.com/magic-items/ioun-stone,Wondrous Items: Head,20000-50000
Wand Of Secrets,101-500,125,Uncommon,"1,500", https://www.dndbeyond.com/magic-items/wand-of-secrets,Wands,100-600
Guild Keyrune (Boros),501-5000,"3,500",Rare,, https://www.dndbeyond.com/magic-items/guild-keyrune,Wondrous Items,2000-20000
Talking Doll,50-100,75,Common,, https://www.dndbeyond.com/magic-items/talking-doll,Wondrous Items,20-70
Wand Of Fear,501-5000,"3,250",Rare,"10,000", https://www.dndbeyond.com/magic-items/wand-of-fear,Wands,2000-20000
Mizzium Armor,501-5000,"+1,500",Rare,, https://www.dndbeyond.com/magic-items/mizzium-armor,Armor,2000-20000
Instrument of the Bards (Fochulan Bandore),101-500,350,Uncommon,"26,500", https://www.dndbeyond.com/magic-items/fochlucan-bandore,Wondrous Items,100-600
Universal Solvent,50001+,"5,000",Legendary,300, https://www.dndbeyond.com/magic-items/universal-solvent,Wondrous Items,50000-300000
Eye Of Vecna,Priceless,,Artifact,, https://www.dndbeyond.com/magic-items/eye-of-vecna,Wondrous Items,Priceless
Instrument Of Scribing,50-100,80,Common,, https://www.dndbeyond.com/magic-items/instrument-of-scribing,Wondrous Items,20-70
Grovelthrash,Priceless,,Artifact,, https://www.dndbeyond.com/magic-items/grovelthrash,Weapons,Priceless
Badge Of The Watch,501-5000,"3,250",Rare,, https://www.dndbeyond.com/magic-items/badge-of-the-watch,Wondrous Items,2000-20000
Bracers Of Defense,501-5000,"4,000",Rare,"6,000", https://www.dndbeyond.com/magic-items/bracers-of-defense,Wondrous Items: Arms & Wrists,2000-20000
Rope Of Entanglement,501-5000,"1,000",Rare,"4,000", https://www.dndbeyond.com/magic-items/rope-of-entanglement,Wondrous Items,2000-20000
Flame Tongue,501-5000,"5,000",Rare,"5,000", https://www.dndbeyond.com/magic-items/flame-tongue,Weapons,2000-20000
Eye And Hand Of Vecna,Priceless,,Artifact,, https://www.dndbeyond.com/magic-items/eye-and-hand-of-vecna,Wondrous Items,Priceless
Lock Of Trickery,50-100,50,Common,, https://www.dndbeyond.com/magic-items/lock-of-trickery,Wondrous Items,20-70
Green Dragon Mask,50001+,,Legendary,, https://www.dndbeyond.com/magic-items/green-dragon-mask,Wondrous Items,50000-300000
Driftglobe,101-500,100,Uncommon,750, https://www.dndbeyond.com/magic-items/driftglobe,Wondrous Items,100-600
Two-Birds Sling,501-5000,"4,000",Rare,, https://www.dndbeyond.com/magic-items/two-birds-sling,Weapons,2000-20000
Glamerweave (Common),50-100,50,Common,, https://www.dndbeyond.com/magic-items/glamerweave,Wondrous Items,20-70
"Spell Gem (Amber, Level 4)",5001-50000,"8,000",Very Rare,, https://www.dndbeyond.com/magic-items/spell-gem-amber,Spell Gems,20000-50000
Gem Of Seeing,501-5000,"5,000",Rare,"32,000", https://www.dndbeyond.com/magic-items/gem-of-seeing,Wondrous Items,2000-20000
Band Of Loyalty,101-500,,Uncommon,, https://www.dndbeyond.com/magic-items/band-of-loyalty,Rings,100-600
Robe Of Summer,501-5000,"2,900",Rare,, https://www.dndbeyond.com/magic-items/robe-of-summer,Wondrous Items: Body,2000-20000
Circlet Of Blasting,101-500,350,Uncommon,"1,500", https://www.dndbeyond.com/magic-items/circlet-of-blasting,Wondrous Items: Head,100-600
Pyroconverger,101-500,250,Uncommon,, https://www.dndbeyond.com/magic-items/pyroconverger,Wondrous Items,100-600
Ring Of Evasion,501-5000,"4,900",Rare,"5,000", https://www.dndbeyond.com/magic-items/ring-of-evasion,Rings,2000-20000
Dragon Scale Mail,5001-50000,"15,000",Very Rare,"4,000", https://www.dndbeyond.com/magic-items/dragon-scale-mail,Armor,20000-50000
Kythrian Manchineel Focus,50-100,,Common,, https://www.dndbeyond.com/magic-items/kythrian-manchineel-focus,Wondrous Items,20-70
Cubic Gate,50001+,"164,000",Legendary,"40,000", https://www.dndbeyond.com/magic-items/cubic-gate,Wondrous Items,50000-300000
Ruby Of The War Mage,50-100,100,Common,, https://www.dndbeyond.com/magic-items/ruby-of-the-war-mage,Wondrous Items,20-70
Bonecounter,501-5000,,Rare,, https://www.dndbeyond.com/magic-items/bonecounter,Weapons,2000-20000
Sending Stone,101-500,500,Uncommon,, https://www.dndbeyond.com/magic-items/sending-stone,Wondrous Items,100-600
Vorpal Sword,50001+,"75,000",Legendary,"24,000", https://www.dndbeyond.com/magic-items/vorpal-sword,Weapons,50000-300000
Dust Of Sneezing And Choking,101-500,150,Uncommon,480, https://www.dndbeyond.com/magic-items/dust-of-sneezing-and-choking,Wondrous Items,100-600
Heward's Handy Spice Pouch,50-100,100,Common,, https://www.dndbeyond.com/magic-items/hewards-handy-spice-pouch,Wondrous Items,20-70
Helm Of Comprehending Languages,101-500,200,Uncommon,500, https://www.dndbeyond.com/magic-items/helm-of-comprehending-languages,Wondrous Items: Head,100-600
Vox Seeker,50-100,100,Common,, https://www.dndbeyond.com/magic-items/vox-seeker,Wondrous Item,20-70
Unbreakable Arrow,50-100,25,Common,, https://www.dndbeyond.com/magic-items/unbreakable-arrow,Ammunition,20-70
Talisman Of Ultimate Evil,50001+,"125,000",Legendary,"61,440", https://www.dndbeyond.com/magic-items/talisman-of-ultimate-evil,Wondrous Items,50000-300000
Horseshoes Of A Zephyr,5001-50000,"6,000",Very Rare,"1,500", https://www.dndbeyond.com/magic-items/horseshoes-of-a-zephyr,Wondrous Items,20000-50000
Wand Of Orcus,Priceless,,Artifact,, https://www.dndbeyond.com/magic-items/wand-of-orcus,Wands,Priceless
Orb Of Gonging,50-100,,Common,, https://www.dndbeyond.com/magic-items/orb-of-gonging,Wondrous Items,20-70
"Spell Gem (Topaz, Level 6)",5001-50000,"20,000",Very Rare,, https://www.dndbeyond.com/magic-items/spell-gem-topaz,Spell Gems,20000-50000
Orb Of The Stein Rune,501-5000,"2,700",Rare,, https://www.dndbeyond.com/magic-items/orb-of-the-stein-rune,Wondrous Items,2000-20000
Gem Of Brightness,101-500,250,Uncommon,"5,000", https://www.dndbeyond.com/magic-items/gem-of-brightness,Wondrous Items,100-600
Stone Of Controlling Earth Elementals,501-5000,"4,700",Rare,"8,000", https://www.dndbeyond.com/magic-items/stone-of-controlling-earth-elementals,Wondrous Items,2000-20000
Butchers Bib,501-5000,"2,750",Rare,, https://www.dndbeyond.com/magic-items/butchers-bib,Wondrous Item,2000-20000
Storm Spire,50001+,,Legendary,, https://www.dndbeyond.com/magic-items/storm-spire,Wondrous Items,50000-300000
Astronomy Archive,501-5000,,Rare,, https://www.dndbeyond.com/magic-items/astronomy-archive,Wondrous Items,2000-20000
Prosthetic Limb,50-100,,Common,, https://www.dndbeyond.com/magic-items/prosthetic-limb,Wondrous Items,20-70
Arrow-Catching Shield,501-5000,"4,500",Rare,"6,000", https://www.dndbeyond.com/magic-items/arrow-catching-shield,Shields,2000-20000
Dimensional Seal,50001+,,Legendary,, https://www.dndbeyond.com/magic-items/dimensional-seal,Wondrous Items,50000-300000
Manual Of Quickness Of Action,5001-50000,"36,000",Very Rare,, https://www.dndbeyond.com/magic-items/manual-of-quickness-of-action,Wondrous Items,20000-50000
Ioun Stone Of Historical Knowledge,501-5000,,Rare,, https://www.dndbeyond.com/magic-items/ioun-stone-of-historical-knowledge,Wondrous Items,2000-20000
Stone Of Ill Luck,101-500,400,Uncommon,, https://www.dndbeyond.com/magic-items/stone-of-ill-luck,Wondrous Items,100-600
Tankard Of Sobriety,50-100,80,Common,, https://www.dndbeyond.com/magic-items/tankard-of-sobriety,Wondrous Items,20-70
Elder Cartographers Glossography,101-500,,Uncommon,, https://www.dndbeyond.com/magic-items/elder-cartographers-glossography,Wondrous Items,100-600
Potion Of Mind Control (Humanoid),501-5000,"2,500",Rare,, https://www.dndbeyond.com/magic-items/potion-of-mind-control,Potions & Oils,2000-20000
Efreeti Chain (chain mail),50001+,"80,000",Legendary,"20,000", https://www.dndbeyond.com/magic-items/efreeti-chain,Armor,50000-300000
Cloak Of Elvenkind,101-500,250,Uncommon,"5,000", https://www.dndbeyond.com/magic-items/cloak-of-elvenkind,Wondrous Items: Shoulders,100-600
Voting Kit,50-100,,Common,, https://www.dndbeyond.com/magic-items/voting-kit,Wondrous Items,20-70
Illuminator's Tattoo,50-100,,Common,, https://www.dndbeyond.com/magic-items/illuminators-tattoo,Wondrous Items,20-70
Polymorph Blade,5001-50000,,Very Rare,, https://www.dndbeyond.com/magic-items/polymorph-blade,Weapons,20000-50000
Speaking Stone,101-500,"5,000",Uncommon,, https://www.dndbeyond.com/magic-items/speaking-stone,Wondrous Items,100-600
Frost Brand (any sword),5001-50000,"11,000",Very Rare,"2,200", https://www.dndbeyond.com/magic-items/frost-brand,Weapons,20000-50000
Teeth of Dahlver-Nar,Priceless,,Artifact,, https://www.dndbeyond.com/magic-items/teeth-of-dahlver-nar,Wondrous Items,Priceless
Lamannian Oak Focus,50-100,,Common,, https://www.dndbeyond.com/magic-items/lamannian-oak-focus,Wondrous Items,20-70
Winters Dark Bite,101-500,,Uncommon,, https://www.dndbeyond.com/magic-items/winters-dark-bite,Weapons,100-600
Ioun Stone (Strength),5001-50000,"8,000",Very Rare,"3,000", https://www.dndbeyond.com/magic-items/ioun-stone,Wondrous Items: Head,20000-50000
Mabaran Resonator,50001+,,Legendary,, https://www.dndbeyond.com/magic-items/mabaran-resonator,Wondrous Items,50000-300000
Infiltrator's Key,50001+,,Legendary,, https://www.dndbeyond.com/magic-items/infiltrators-key,Wondrous Item,50000-300000
Boots Of Speed,501-5000,"3,000",Rare,"4,000", https://www.dndbeyond.com/magic-items/boots-of-speed,Wondrous Items: Feet,2000-20000
Documancy Satchel,Varies,,Varies,, https://www.dndbeyond.com/magic-items/documancy-satchel,Wondrous Items,Varies
Shield Of Missile Attraction,501-5000,"1,000",Rare,"6,000", https://www.dndbeyond.com/magic-items/shield-of-missile-attraction,Shields,2000-20000
Ring Of Air Elemental Command,50001+,"200,000",Legendary,"35,000", https://www.dndbeyond.com/magic-items/ring-of-air-elemental-command,Rings,50000-300000
Brazier Of Commanding Fire Elementals,501-5000,"4,700",Rare,"8,000", https://www.dndbeyond.com/magic-items/brazier-of-commanding-fire-elementals,Wondrous Items,2000-20000
"Spell Gem (Ruby, Level 8)",50001+,"51,000",Legendary,, https://www.dndbeyond.com/magic-items/spell-gem-ruby,Spell Gems,50000-300000
Stormgirdle,50001+,,Legendary,, https://www.dndbeyond.com/magic-items/stormgirdle,Wondrous Item,50000-300000
Iron Bands Of Bilarro,501-5000,"2,600",Rare,"4,000", https://www.dndbeyond.com/magic-items/iron-bands-of-bilarro,Wondrous Items,2000-20000
"Spell Gem (Obsidian, Level 0)",101-500,150,Uncommon,, https://www.dndbeyond.com/magic-items/spell-gem-obsidian,Spell Gems,100-600
Dimensional Shackles,501-5000,"2,800",Rare,"3,000", https://www.dndbeyond.com/magic-items/dimensional-shackles,Wondrous Items,2000-20000
"Weapon, +3",5001-50000,"15,000",Very Rare,"16,000", https://www.dndbeyond.com/magic-items/weapon-3,Weapons,20000-50000
Sword Of Zariel,Priceless,,Artifact,, https://www.dndbeyond.com/magic-items/sword-of-zariel,Weapons,Priceless
Ythryn Mythallar,50001+,,Legendary,, https://www.dndbeyond.com/magic-items/ythryn-mythallar,Wondrous Items,50000-300000
Rod Of The Pact Keeper +1,101-500,400,Uncommon,"12,000", https://www.dndbeyond.com/magic-items/rod-of-the-pact-keeper,Rods,100-600
Sword Of Life Stealing (any sword),501-5000,"2,200",Rare,"1,000", https://www.dndbeyond.com/magic-items/sword-of-life-stealing,Weapons,2000-20000
Bag Of Bounty,101-500,,Uncommon,, https://www.dndbeyond.com/magic-items/bag-of-bounty,Wondrous Items,100-600
Boots Of Levitation,501-5000,"4,500",Rare,"4,000", https://www.dndbeyond.com/magic-items/boots-of-levitation,Wondrous Items: Feet,2000-20000
Ring Of Spell Storing,501-5000,"3,600",Rare,"24,000", https://www.dndbeyond.com/magic-items/ring-of-spell-storing,Rings,2000-20000
Moon-Touched Sword,50-100,+75,Common,, https://www.dndbeyond.com/magic-items/moon-touched-sword,Weapons,20-70
Cauldron of Plenty,501-5000,,Rare,, https://www.dndbeyond.com/magic-items/cauldron-of-plenty,Wondrous Items,2000-20000
Potion Of Flying,5001-50000,"2,500",Very Rare,500, https://www.dndbeyond.com/magic-items/potion-of-flying,Potions & Oils,20000-50000
Blackrazor,50001+,,Legendary,, https://www.dndbeyond.com/magic-items/blackrazor,Weapons,50000-300000
Ioun Stone (Agility),5001-50000,"8,000",Very Rare,"3,000", https://www.dndbeyond.com/magic-items/ioun-stone,Wondrous Items: Head,20000-50000
Amulet of the Drunkard,101-500,500,Uncommon,, https://www.dndbeyond.com/magic-items/amulet-of-the-drunkard,Wondrous Item,100-600
Bag Of Bounty,101-500,,Uncommon,, https://www.dndbeyond.com/magic-items/bag-of-bounty,Wondrous Items,100-600
Mind Lash,501-5000,,Rare,, https://www.dndbeyond.com/magic-items/mind-lash,Weapons,2000-20000
Horn Of Valhalla (Silver),501-5000,"5,000",Rare,"5,600", https://www.dndbeyond.com/magic-items/horn-of-valhalla,Wondrous Items,2000-20000
Shield Of Expression,50-100,50,Common,, https://www.dndbeyond.com/magic-items/shield-of-expression,Shields,20-70
Spellguard Shield,5001-50000,"36,000",Very Rare,"50,000", https://www.dndbeyond.com/magic-items/spellguard-shield,Shields,20000-50000
Cloak Of Billowing,50-100,100,Common,, https://www.dndbeyond.com/magic-items/cloak-of-billowing,Wondrous Items: Shoulders,20-70
Quiver Of Ehlonna,101-500,250,Uncommon,"1,000", https://www.dndbeyond.com/magic-items/quiver-of-ehlonna,Wondrous Items,100-600
Instrument of the Bards (Ollamh Harp),50001+,"51,000",Legendary,"125,000", https://www.dndbeyond.com/magic-items/ollamh-harp,Wondrous Items,50000-300000
Boots Of The Winding Path,Varies,,Varies,, https://www.dndbeyond.com/magic-items/boots-of-the-winding-path,Wondrous Items: Feet,Varies
Lifewell Tattoo,501-5000,,Rare,, https://www.dndbeyond.com/magic-items/lifewell-tattoo,Wondrous Items,2000-20000
Cloak Of The Manta Ray,101-500,350,Uncommon,"6,000", https://www.dndbeyond.com/magic-items/cloak-of-the-manta-ray,Wondrous Items: Shoulders,100-600
Amulet Of The Black Skull,5001-50000,"6,400",Very Rare,, https://www.dndbeyond.com/magic-items/amulet-of-the-black-skull,Wondrous Items: Neck,20000-50000
Robe Of Stars,5001-50000,"45,000",Very Rare,"60,000", https://www.dndbeyond.com/magic-items/robe-of-stars,Wondrous Items: Body,20000-50000
Guild Signet,101-500,350,Uncommon,, https://www.dndbeyond.com/magic-items/guild-signet,Rings,100-600
Wheel Of Wind And Water,101-500,350,Uncommon,, https://www.dndbeyond.com/magic-items/wheel-of-wind-and-water,Wondrous Items,100-600
Talisman Of Pure Good,50001+,"125,000",Legendary,"71,680", https://www.dndbeyond.com/magic-items/talisman-of-pure-good,Wondrous Items,50000-300000
Apparatus Of The Crab,50001+,"90,000",Legendary,"10,000", https://www.dndbeyond.com/magic-items/apparatus-of-the-crab,Wondrous Items,50000-300000
Gloves Of Missile Snaring,101-500,325,Uncommon,"3,000", https://www.dndbeyond.com/magic-items/gloves-of-missile-snaring,Wondrous Items: Hands,100-600
Elemental Essence Shard,501-5000,,Rare,, https://www.dndbeyond.com/magic-items/elemental-essence-shard,Wondrous Items,2000-20000
Ring of Obscuring,101-500,150,Uncommon,, https://www.dndbeyond.com/magic-items/ring-of-obscuring,Rings,100-600
Necklace of Fireballs (2 Beads),501-5000,"1,450",Rare,480, https://www.dndbeyond.com/magic-items/necklace-of-fireballs,Wondrous Items: Neck,2000-20000
Amulet Of The Planes,5001-50000,"43,000",Very Rare,"160,000", https://www.dndbeyond.com/magic-items/amulet-of-the-planes,Wondrous Items: Neck,20000-50000
Waythe (greatsword),50001+,"62,000",Legendary,, https://www.dndbeyond.com/magic-items/waythe,Weapons,50000-300000
Luba's Tarokka of Souls,Priceless,,Artifact,, https://www.dndbeyond.com/magic-items/lubas-tarokka-of-souls,Wondrous Items,Priceless
